ProteinID,902_HET_M_imputed_intensity,903_MUT_M_imputed_intensity,904_HET_M_imputed_intensity,907_MUT_F_imputed_intensity,910_WT_M_imputed_intensity,911_WT_M_imputed_intensity,Entry Name,Protein names
P16858,22.6165825,23.11644074,23.64854849,23.08133682,22.25185683,23.13625239,G3P_MOUSE,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)
Q9DB20,22.59411818,21.61503148,22.44093505,22.42480855,22.84904806,22.38404804,ATPO_MOUSE,"ATP synthase subunit O, mitochondrial (ATP synthase peripheral stalk subunit OSCP) (Oligomycin sensitivity conferral protein) (OSCP)"
P67778,22.59081956,21.84102296,22.87544115,22.37880391,22.52486736,22.80553922,PHB1_MOUSE,Prohibitin 1 (B-cell receptor-associated protein 32) (BAP 32)
Q922Q1,22.58072183,22.50877743,23.23692191,23.18800411,22.70331473,22.76997582,MARC2_MOUSE,Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.7.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2)
O88312,22.55418037,22.44148985,22.43361906,23.10236213,24.55689167,23.3478949,AGR2_MOUSE,Anterior gradient protein 2 homolog (AG-2) (mAG-2) (Protein Gob-4) (Secreted cement gland protein XAG-2 homolog)
P08207,22.4635563,22.67508785,22.74714195,22.92583872,22.37291925,22.71800602,S10AA_MOUSE,Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11)
P02535,22.42775989,20.30438698,22.03801405,21.1642416,21.98263435,21.47011667,K1C10_MOUSE,"Keratin, type I cytoskeletal 10 (56 kDa cytokeratin) (Cytokeratin-10) (CK-10) (Keratin, type I cytoskeletal 59 kDa) (Keratin-10) (K10)"
P0DP26,22.42019926,21.23721813,21.98205634,22.54517566,22.94678779,22.4046411,CALM1_MOUSE,Calmodulin-1
P56135,22.38729952,21.38219127,22.09593974,22.15491389,22.39524072,22.1252867,ATPK_MOUSE,"ATP synthase subunit f, mitochondrial (ATP synthase membrane subunit f)"
P97429,22.36874836,21.55527159,22.47519313,22.88850247,23.13126761,22.63608867,ANXA4_MOUSE,Annexin A4 (Annexin IV) (Annexin-4)
Q9CZ13,22.34205079,21.66173026,22.70075211,22.33329459,22.20026345,22.38593137,QCR1_MOUSE,"Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)"
Q3TTY5,22.32511657,20.73174163,21.35882609,20.87047159,22.20515309,21.24595187,K22E_MOUSE,"Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)"
Q9CPQ1,22.28708106,22.80155049,23.20703607,23.49279693,22.66369447,23.16770908,COX6C_MOUSE,Cytochrome c oxidase subunit 6C (Cytochrome c oxidase polypeptide VIc)
Q06185,22.28378471,21.28487492,22.44348691,22.47514859,22.61602827,22.33154899,ATP5I_MOUSE,"ATP synthase subunit e, mitochondrial (ATPase subunit e) (ATP synthase membrane subunit e)"
P10922,22.24065451,22.7754419,22.73279139,23.52273333,23.68751366,22.92275025,H10_MOUSE,"Histone H1.0 (Histone H1') (Histone H1(0)) (MyD196) [Cleaved into: Histone H1.0, N-terminally processed]"
P61027,22.22230259,22.03174898,22.44834522,22.18139008,21.82999752,22.31552993,RAB10_MOUSE,Ras-related protein Rab-10 (EC 3.6.5.2)
Q8JZR0,22.21185681,21.46379076,22.35623541,21.91457857,21.46549068,21.73971882,ACSL5_MOUSE,Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 5) (LACS 5)
Q9D3D9,22.18000321,20.86379608,22.39504978,22.26061177,21.98636843,21.93814308,ATPD_MOUSE,"ATP synthase subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)"
Q9DB77,22.13916161,21.59609237,22.46330434,22.13375745,22.07643071,22.20650706,QCR2_MOUSE,"Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome-c reductase complex core protein 2)"
P20029,22.13855555,21.5872318,21.97721423,21.7638348,22.08792635,22.21647057,BIP_MOUSE,Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)
Q9D0M3,22.10313731,21.33222672,22.64434481,22.26672593,21.99355209,22.25034237,CY1_MOUSE,"Cytochrome c1, heme protein, mitochondrial (EC 7.1.1.8) (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)"
A8DUK4,22.09777625,21.81650246,22.47472044,22.66273008,22.17190427,22.06819637,A8DUK4_MOUSE,"Beta-globin (Globin a1) (Hemoglobin, beta adult s chain) (Hemoglobin, beta adult t chain)"
Q9DCN2,22.09306288,21.54911156,22.25248354,22.12673661,21.9497505,21.70227501,NB5R3_MOUSE,NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1)
Q91VR2,22.06568763,21.29681877,21.98189961,22.01267977,22.13249659,21.9090903,ATPG_MOUSE,"ATP synthase subunit gamma, mitochondrial (ATP synthase F1 subunit gamma) (F-ATPase gamma subunit)"
Q60605,22.03590187,22.6092527,22.21720752,22.86580764,22.58438315,22.45544412,MYL6_MOUSE,Myosin light polypeptide 6 (17 kDa myosin light chain) (LC17) (Myosin light chain 3) (MLC-3) (Myosin light chain alkali 3) (Myosin light chain A3) (Smooth muscle and nonmuscle myosin light chain alkali 6)
P68368,22.00998029,22.49519776,22.18601749,22.16440735,21.87196839,22.41093108,TBA4A_MOUSE,Tubulin alpha-4A chain (EC 3.6.5.-) (Alpha-tubulin 4) (Alpha-tubulin isotype M-alpha-4) (Tubulin alpha-4 chain)
O88329,22.00401742,22.25117783,21.91861652,22.53018151,22.7392903,22.41628676,MYO1A_MOUSE,Unconventional myosin-Ia (Brush border myosin I) (BBM-I) (BBMI) (Myosin I heavy chain) (MIHC)
P11928,22.00218802,19.63574469,22.37607132,20.29588325,20.16507628,20.43544645,OAS1A_MOUSE,2'-5'-oligoadenylate synthase 1A ((2-5')oligo(A) synthase 1A) (2-5A synthase 1A) (EC 2.7.7.84) (p42 OAS)
Q3U9G9,21.96946381,22.00477184,22.11681986,21.57128232,21.4682233,22.04847889,LBR_MOUSE,Delta(14)-sterol reductase LBR (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (Lamin-B receptor) (Sterol C14-reductase)
Q80Z19,21.96173512,23.91020353,22.95997506,23.197268,22.84386203,23.76406369,MUC2_MOUSE,Mucin-2 (MUC-2) (Colonic mucin) (MCM) (Secreted gel-forming mucin)
Q9CPU4,21.95808183,22.49083766,22.6483905,22.92672381,21.77622337,22.57358617,MGST3_MOUSE,"Glutathione S-transferase 3, mitochondrial (EC 2.5.1.-) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20)"
Q9QZQ8,21.95511846,22.15554399,22.47292481,23.23599054,23.64923951,22.80257237,H2AY_MOUSE,Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (H2A.y) (H2A/y)
Q8VED5,21.95024191,20.02301792,20.85132815,20.13639791,20.61120855,20.4457868,K2C79_MOUSE,"Keratin, type II cytoskeletal 79 (Cytokeratin-79) (CK-79) (Keratin-79) (K79) (Type-II keratin Kb38)"
Q3THE2,21.94561315,21.79820756,22.04602222,22.52350883,21.84275392,21.8852659,ML12B_MOUSE,"Myosin regulatory light chain 12B (Myosin regulatory light chain 2-B, smooth muscle isoform) (Myosin regulatory light chain 20 kDa) (MLC20) (Myosin regulatory light chain MRLC2)"
Q60931,21.94211212,22.49431898,22.84597619,22.96045946,22.13477286,22.64736532,VDAC3_MOUSE,Voltage-dependent anion-selective channel protein 3 (VDAC-3) (mVDAC3) (Outer mitochondrial membrane protein porin 3)
Q8K0C5,21.93727395,23.60827603,21.93168037,22.4754925,23.42243388,23.00942851,ZG16_MOUSE,Zymogen granule membrane protein 16 (Zymogen granule protein 16) (Secretory lectin ZG16)
P14824,21.92850319,21.28939642,22.78456216,21.47230511,21.50269198,22.06774683,ANXA6_MOUSE,Annexin A6 (67 kDa calelectrin) (Annexin VI) (Annexin-6) (Calphobindin-II) (CPB-II) (Chromobindin-20) (Lipocortin VI) (Protein III) (p68) (p70)
P35550,21.88384622,21.67763621,21.79092594,21.70271466,21.79413105,21.79063963,FBRL_MOUSE,rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (Histone-glutamine methyltransferase) (Nucleolar protein 1) (U6 snRNA 2'-O-methyltransferase fibrillarin)
Q9D855,21.8324489,20.9496757,22.55184529,21.90670714,21.58967949,21.76651435,QCR7_MOUSE,Cytochrome b-c1 complex subunit 7 (Complex III subunit 7) (Complex III subunit VII) (Ubiquinol-cytochrome c reductase complex 14 kDa protein)
Q9CQQ7,21.82483757,20.85152641,21.86628132,21.72915436,21.84541731,21.61734729,AT5F1_MOUSE,"ATP synthase F(0) complex subunit B1, mitochondrial (ATP synthase peripheral stalk-membrane subunit b) (ATP synthase subunit b) (ATPase subunit b)"
P99024,21.80145971,22.24008672,21.94667358,21.72312429,21.64668878,22.12601814,TBB5_MOUSE,Tubulin beta-5 chain
Q9CY50,21.78465002,20.70639147,21.76158451,21.20914871,21.00131197,21.46854649,SSRA_MOUSE,Translocon-associated protein subunit alpha (TRAP-alpha) (Signal sequence receptor subunit alpha) (SSR-alpha)
Q922F4,21.78419071,22.50182504,22.19442563,21.80524399,21.21921225,22.17969045,TBB6_MOUSE,Tubulin beta-6 chain
P12710,21.78349147,20.90066932,21.40620708,22.27263776,22.40347395,21.15207808,FABPL_MOUSE,"Fatty acid-binding protein, liver (14 kDa selenium-binding protein) (Fatty acid-binding protein 1) (Liver-type fatty acid-binding protein) (L-FABP)"
O54734,21.75867216,21.18730495,21.67414398,21.302302,21.56355287,21.62099298,OST48_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (DDOST 48 kDa subunit) (Oligosaccharyl transferase 48 kDa subunit)
Q9Z261,21.74308892,21.13186575,21.09850249,21.76982251,22.59657014,21.52583046,CLD7_MOUSE,Claudin-7
P62301,21.71969045,21.35946432,21.37870338,21.32645582,21.85926406,21.58170353,RS13_MOUSE,Small ribosomal subunit protein uS15 (40S ribosomal protein S13)
Q91VS7,21.7143755,21.48252832,21.7635998,21.61661615,21.93102385,21.77901234,MGST1_MOUSE,Microsomal glutathione S-transferase 1 (Microsomal GST-1) (EC 2.5.1.18) (Microsomal GST-I)
P30681,21.70906193,21.41721694,21.90366197,21.89577126,23.4680567,21.82930078,HMGB2_MOUSE,High mobility group protein B2 (High mobility group protein 2) (HMG-2)
P68373,21.70324713,22.16958497,22.19675339,21.96150904,21.40992953,21.97350189,TBA1C_MOUSE,Tubulin alpha-1C chain (EC 3.6.5.-) (Alpha-tubulin 6) (Alpha-tubulin isotype M-alpha-6) (Tubulin alpha-6 chain) [Cleaved into: Detyrosinated tubulin alpha-1C chain]
Q61937,21.68890337,21.66988678,21.48446203,21.24485506,21.55058241,21.15173753,NPM_MOUSE,Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)
P63017,21.66036417,21.39506025,21.53403495,21.68202072,21.8338583,21.66877075,HSP7C_MOUSE,Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8)
Q8K386,21.65082212,21.49108975,21.80875133,21.75445368,21.28212805,21.8991725,RAB15_MOUSE,Ras-related protein Rab-15
Q8VEK3,21.63869575,21.95266092,21.93897221,21.96682648,22.55272725,22.19063613,HNRPU_MOUSE,Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (Scaffold-attachment factor A) (SAF-A)
Q922Q8,21.62894653,21.08369357,21.72880157,20.98269701,21.14371453,21.21130134,LRC59_MOUSE,"Leucine-rich repeat-containing protein 59 [Cleaved into: Leucine-rich repeat-containing protein 59, N-terminally processed]"
Q9CR57,21.60401202,21.80693188,21.23763245,20.98952478,21.11169096,21.71658756,RL14_MOUSE,Large ribosomal subunit protein eL14 (60S ribosomal protein L14)
D3Z2H9,21.59943799,21.93133051,22.00867139,22.18366324,21.34795976,21.42557448,D3Z2H9_MOUSE,"Tropomyosin 3, related sequence 7"
Q91YQ5,21.5982979,21.19108211,21.53780231,21.06191302,21.14576799,21.45621402,RPN1_MOUSE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1)
Q8VIJ6,21.5953868,21.85903651,21.25752481,21.74623383,22.43799279,21.75200898,SFPQ_MOUSE,"Splicing factor, proline- and glutamine-rich (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)"
P97449,21.59321785,20.64464847,21.59996005,21.46048489,21.44689247,21.2449015,AMPN_MOUSE,Aminopeptidase N (AP-N) (mAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Membrane protein p161) (Microsomal aminopeptidase) (CD antigen CD13)
Q9R100,21.59292142,20.01602748,21.05162849,20.6968487,21.81717807,20.67366966,CAD17_MOUSE,Cadherin-17 (BILL-cadherin) (Liver-intestine cadherin) (LI-cadherin) (P130)
Q9D8E6,21.59133333,21.80102546,21.3155631,21.04237945,21.02819476,21.50878226,RL4_MOUSE,Large ribosomal subunit protein uL4 (60S ribosomal protein L4)
P11499,21.58972977,21.49482922,21.49969312,21.7693302,21.16326516,21.43012582,HS90B_MOUSE,Heat shock protein HSP 90-beta (Heat shock 84 kDa) (HSP 84) (HSP84) (Tumor-specific transplantation 84 kDa antigen) (TSTA)
Q9CQX2,21.56749473,21.39783546,22.03182301,22.01755062,21.17348195,21.44721543,CYB5B_MOUSE,Cytochrome b5 type B (Cytochrome b5 outer mitochondrial membrane isoform)
P84084,21.56021153,22.12223083,22.45553944,22.42895867,21.40288611,22.15971308,ARF5_MOUSE,ADP-ribosylation factor 5
O88569,21.54420887,20.87835931,21.45747206,21.26244817,22.05159198,21.56359476,ROA2_MOUSE,Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)
Q68FD5,21.54014602,21.22482133,21.17235914,21.82187128,21.71130736,21.30821458,CLH1_MOUSE,Clathrin heavy chain 1
Q91VD9,21.51298731,20.97557792,21.57996958,21.67926961,21.47193812,21.70363157,NDUS1_MOUSE,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)"
Q8K2B3,21.5128475,20.40718269,21.44107694,21.05369127,21.40761839,20.990176,SDHA_MOUSE,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp) (Malate dehydrogenase [quinone] flavoprotein subunit) (EC 1.1.5.-)"
P14131,21.49476576,21.27023258,21.28285201,21.0249462,21.81304917,21.53878761,RS16_MOUSE,Small ribosomal subunit protein uS9 (40S ribosomal protein S16)
Q791V5,21.48656991,21.89089732,22.26685744,22.45386793,21.65984176,22.05079525,MTCH2_MOUSE,Mitochondrial carrier homolog 2 (Met-induced mitochondrial protein)
Q9CQA3,21.47577202,20.20961281,21.1541815,20.87755076,21.20408751,20.73058125,SDHB_MOUSE,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip) (Malate dehydrogenase [quinone] iron-sulfur subunit) (EC 1.1.5.-)"
Q9ERS2,21.46545082,21.1559423,21.63992358,21.77498165,21.51995101,21.59378319,NDUAD_MOUSE,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Cell death regulatory protein GRIM-19) (Complex I-B16.6) (CI-B16.6) (Gene associated with retinoic and interferon-induced mortality 19 protein) (GRIM-19) (Gene associated with retinoic and IFN-induced mortality 19 protein) (NADH-ubiquinone oxidoreductase B16.6 subunit)
P11032,21.45934456,21.28375646,21.902275,22.32333904,24.32191984,22.37855258,GRAA_MOUSE,Granzyme A (EC 3.4.21.78) (Autocrine thymic lymphoma granzyme-like serine protease) (CTLA-3) (Fragmentin-1) (T cell-specific serine protease 1) (TSP-1)
Q8R084,21.45517569,20.52741592,21.02608166,20.43238082,20.81154874,20.25743849,Q8R084_MOUSE,UDP-glucuronosyltransferase (EC 2.4.1.17)
Q9CQ69,21.44713974,21.21781101,21.86339154,21.70043464,22.00374985,21.75208659,QCR8_MOUSE,Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C)
P35980,21.43254904,21.58929545,21.16853869,21.08632026,21.14267424,21.46000986,RL18_MOUSE,Large ribosomal subunit protein eL18 (60S ribosomal protein L18)
P17742,21.42708978,19.35681946,20.98058589,20.68135167,21.05591656,20.4309119,PPIA_MOUSE,"Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) (SP18) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]"
P62270,21.42280085,20.97799677,21.05963096,20.91165969,21.52182565,21.16039342,RS18_MOUSE,Small ribosomal subunit protein uS13 (40S ribosomal protein S18) (Ke-3) (Ke3)
Q62468,21.40732275,21.59013654,21.38798574,21.95293814,21.7246529,21.43916027,VILI_MOUSE,Villin-1
P35979,21.40354156,21.1955224,21.05043325,21.24869895,21.03352786,21.30799232,RL12_MOUSE,Large ribosomal subunit protein uL11 (60S ribosomal protein L12)
